,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank_placing,trending,pypi_id,pypi_url,pypi_monthly_downloads,conda_id,updated_github_id,conda_url,gitlab_id,gitlab_url
77,Magic8bot,,bots-frameworks,https://github.com/magic8bot/magic8bot,Magic8bot is a cryptocurrency trading bot using Node.js and MongoDB.,14,False,['nodejs'],magic8bot/magic8bot,,https://github.com/magic8bot/magic8bot,MIT,2018-07-09 13:27:43,2023-03-04 04:08:38,2020-12-26 14:42:48,164.0,,78.0,32.0,87.0,,186.0,333.0,,,,,,,,6.0,,,3.0,,,,,,,,,
78,Node.js & Typescript OKX (OKEX) API SDK,,libraries-api,https://github.com/tiagosiebler/okx-api,"Node.js SDK for the OKX APIs and WebSockets, with TypeScript & browser support, integration tests, beautification &..",14,False,['nodejs'],tiagosiebler/okx-api,okx-api,https://github.com/tiagosiebler/okx-api,MIT,2022-07-09 09:48:52,2024-01-30 17:39:07,2024-01-30 17:39:07,122.0,33.0,17.0,2.0,31.0,3.0,10.0,55.0,,,,2479.0,,36.0,36.0,7.0,https://www.npmjs.com/package/okx-api,2479.0,3.0,,,,,,,,,
79,WolfBot,,bots-frameworks,https://github.com/Ekliptor/WolfBot,Crypto currency trading bot written in TypeScript for NodeJS.,13,True,['nodejs'],Ekliptor/WolfBot,,https://github.com/Ekliptor/WolfBot,AGPL-3.0,2018-04-23 00:45:12,2023-02-17 02:36:27,2023-02-17 02:36:23,542.0,,203.0,41.0,73.0,4.0,60.0,682.0,,,,,,,,12.0,,,3.0,,,,,,,,,
80,Technical Analysis for Rust,,ta,https://github.com/greyblake/ta-rs,Technical analysis library for Rust language.,12,False,['rust'],greyblake/ta-rs,,https://github.com/greyblake/ta-rs,MIT,2017-09-29 21:53:18,2023-06-30 07:53:14,2022-10-21 19:51:03,208.0,,105.0,23.0,47.0,11.0,15.0,586.0,,,,,,,,13.0,,,3.0,,,,,,,,,
81,TriangularArbitrage,,bots-frameworks,https://github.com/tiagosiebler/TriangularArbitrage,Detect triangular arbitrage opportunities within Binance price tickers.,12,False,['nodejs'],tiagosiebler/TriangularArbitrage,,https://github.com/tiagosiebler/TriangularArbitrage,,2017-12-31 18:04:02,2024-01-02 18:27:23,2023-01-24 11:30:58,65.0,,163.0,54.0,16.0,7.0,50.0,511.0,,,,,,,,6.0,,,3.0,,,,,,,,,
82,Fast Trade,,libraries-api,https://github.com/jrmeier/fast-trade,low code backtesting library utilizing pandas and technical analysis indicators.,12,True,['python'],jrmeier/fast-trade,,https://github.com/jrmeier/fast-trade,AGPL-3.0,2019-08-06 16:22:53,2024-01-25 21:26:11,2024-01-25 21:26:11,238.0,1.0,30.0,7.0,14.0,,5.0,316.0,2023-01-31 16:17:43,0.4.1,,,18.0,,,5.0,,,3.0,,,,,,,,,
83,Wolfinch,,bots-frameworks,https://github.com/wolfinch/wolfinch,Wolfinch is your friendly trader Bot written in Python.,11,False,['python'],ldmonko/wolfinch,,https://github.com/wolfinch/wolfinch,GPL-3.0,2018-01-12 06:25:09,2023-10-03 06:57:45,2021-03-04 03:20:57,659.0,,56.0,12.0,7.0,6.0,17.0,256.0,2020-07-12 22:31:10,1.1.1,,,1.0,,,6.0,,,3.0,,,,,,wolfinch/wolfinch,,,
84,Tulip Node,,ta,https://github.com/TulipCharts/tulipnode,Tulip Node is the official node.js wrapper for Tulip Indicators. It provides over 100 technical analysis overlay and..,10,False,['nodejs'],TulipCharts/tulipnode,,https://github.com/TulipCharts/tulipnode,LGPL-3.0,2016-12-20 21:44:21,2023-06-28 23:21:49,2022-08-22 18:53:04,78.0,,83.0,20.0,23.0,14.0,51.0,482.0,,,,,,,,7.0,,,3.0,,,,,,,,,
85,stocklook,,libraries-api,https://github.com/zbarge/stocklook,"crypto currency library for trading & market making bots, account management, and data analysis.",9,False,['python'],zbarge/stocklook,,https://github.com/zbarge/stocklook,MIT,2017-10-29 22:05:01,2018-06-22 03:20:37,2018-06-22 03:19:35,57.0,,37.0,17.0,3.0,6.0,1.0,163.0,,,,,,,,,,,3.0,,,,,,,,,
86,bTrader,,bots-frameworks,https://github.com/gabriel-milan/btrader,Triangle arbitrage trading bot for Binance.,8,False,['rust'],gabriel-milan/btrader,,https://github.com/gabriel-milan/btrader,GPL-3.0,2020-08-13 12:08:24,2021-05-30 18:29:56,2021-05-30 18:29:55,37.0,,57.0,15.0,1.0,,13.0,256.0,,,,,,,,2.0,,,3.0,,,,,,,,,
87,KuCoin WS,,libraries-api,https://github.com/IOfate/kucoin-ws,Node.js websocket client for KuCoin.,5,False,['nodejs'],IOfate/kucoin-ws,,https://github.com/IOfate/kucoin-ws,MIT,2021-09-05 06:14:20,2023-07-19 04:03:42,2023-03-02 15:33:37,125.0,,4.0,2.0,9.0,2.0,2.0,6.0,,,,,,4.0,4.0,2.0,,,3.0,,,,,,,,,
88,BitPanda WS,,libraries-api,https://github.com/IOfate/bitpanda-ws,Node.js websocket client for BitPanda.,5,False,['nodejs'],IOfate/bitpanda-ws,,https://github.com/IOfate/bitpanda-ws,MIT,2021-07-18 21:06:31,2023-01-07 09:20:25,2022-08-09 12:18:51,22.0,,,1.0,3.0,,,4.0,,,,,,3.0,3.0,2.0,,,3.0,,,,,,,,,
89,aio-kraken-ws,,libraries-api,https://gitlab.com/cdlr75/aio-kraken-ws,Get ohlc from kraken web sockets. Documentation https://cdlr75.gitlab.io/aio-kraken-ws.,0,False,['python'],,,,,2019-09-12 18:14:34,2019-09-12 18:14:34,,,,0.0,,,,1.0,1.0,,,,,0.0,,,,,,,,,,,,,,cdlr75/aio-kraken-ws,https://gitlab.com/cdlr75/aio-kraken-ws
90,Mida,,bots-frameworks,{},,0,False,['nodejs'],Reiryoku-Technologies/Mida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Cassandre trading bot,,bots-frameworks,,,0,False,['java'],cassandre-trading-bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Frostybot-JS,,libraries-api,{},,0,False,['nodejs'],CryptoMF/frostybot-js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
